Year,Month,State/UT,Tourism Category,Tourist Count,Revenue (INR),Popular Destinations,Purpose of Visit
2000,February,Sikkim,Domestic,26600,34052775.57,Top places in Sikkim,Medical
2000,February,Tamil Nadu,Domestic,41751,40624459.7,Top places in Tamil Nadu,Education
2000,February,Telangana,Total,82747,110875629.4,Top places in Telangana,Leisure
2000,February,Tripura,Domestic,36544,39623687.59,Top places in Tripura,Business
2000,February,Uttar Pradesh,Total,58500,32327453.37,Top places in Uttar Pradesh,Business
2000,February,Uttarakhand,Total,86290,78446267.98,Top places in Uttarakhand,Education
2000,February,West Bengal,International,60778,33819007.7,Top places in West Bengal,Leisure
2000,February,Delhi,Total,33294,28383248.89,Top places in Delhi,Medical
2000,February,Puducherry,Total,67162,59239465.97,Top places in Puducherry,Medical
2000,February,Jammu & Kashmir,Total,34769,32629805.11,Top places in Jammu & Kashmir,Education
2000,February,Ladakh,Total,87827,94618077.87,Top places in Ladakh,Pilgrimage
2000,February,Andaman & Nicobar,Total,81263,83051369.71,Top places in Andaman & Nicobar,Medical
2000,February,Chandigarh,Domestic,85534,83156169.27,Top places in Chandigarh,Business
2000,February,Dadra & Nagar Haveli and Daman & Diu,International,91818,97325351.21,Top places in Dadra & Nagar Haveli and Daman & Diu,Medical
2000,February,Lakshadweep,Domestic,47017,53453325.34,Top places in Lakshadweep,Leisure
2000,March,Andhra Pradesh,International,30664,26035791.23,Top places in Andhra Pradesh,Medical
2000,March,Arunachal Pradesh,Domestic,90167,83873795.92,Top places in Arunachal Pradesh,Leisure
2000,March,Assam,Domestic,67878,89496327.01,Top places in Assam,Medical
2000,March,Bihar,Total,48130,55754923.15,Top places in Bihar,Education
2000,March,Chhattisgarh,International,95741,118906919.9,Top places in Chhattisgarh,Medical
2000,March,Goa,International,28798,32759086.6,Top places in Goa,Medical
2000,March,Gujarat,International,96724,138169882.2,Top places in Gujarat,Leisure
2000,March,Haryana,Total,65939,74062947.52,Top places in Haryana,Business
2000,March,Himachal Pradesh,International,46303,33755825.02,Top places in Himachal Pradesh,Education
2000,March,Jharkhand,Total,88951,91778460.17,Top places in Jharkhand,Leisure
2000,March,Karnataka,International,45871,40599486.14,Top places in Karnataka,Education
2000,March,Kerala,International,24782,32706454.85,Top places in Kerala,Leisure
2000,March,Madhya Pradesh,International,94891,92408869.31,Top places in Madhya Pradesh,Education
2000,March,Maharashtra,International,43964,65413449.65,Top places in Maharashtra,Business
2000,March,Manipur,Domestic,71164,49412538.85,Top places in Manipur,Pilgrimage
2000,March,Meghalaya,Total,72796,61059422.74,Top places in Meghalaya,Education
2000,March,Mizoram,Total,87183,45079883.7,Top places in Mizoram,Medical
2000,March,Nagaland,Domestic,44026,61660784.89,Top places in Nagaland,Pilgrimage
2000,March,Odisha,Domestic,88425,102569794.5,Top places in Odisha,Leisure
2000,March,Punjab,Domestic,45060,53996610.33,Top places in Punjab,Leisure
2000,March,Rajasthan,Domestic,94474,121053740.3,Top places in Rajasthan,Education
2000,March,Sikkim,International,97445,100993028.8,Top places in Sikkim,Medical
2000,March,Tamil Nadu,Total,39825,38735207.51,Top places in Tamil Nadu,Pilgrimage
2000,March,Telangana,International,28678,38524426.35,Top places in Telangana,Pilgrimage
2000,March,Tripura,Domestic,33170,20397064.31,Top places in Tripura,Medical
2000,March,Uttar Pradesh,Total,18690,10791317.73,Top places in Uttar Pradesh,Education
2000,March,Uttarakhand,Total,69640,42150257.49,Top places in Uttarakhand,Medical
2000,March,West Bengal,Total,55356,57080640.85,Top places in West Bengal,Pilgrimage
2000,March,Delhi,Domestic,91141,81890890.09,Top places in Delhi,Leisure
2000,March,Puducherry,International,39740,58591684,Top places in Puducherry,Pilgrimage
2000,March,Jammu & Kashmir,International,71661,48218086.88,Top places in Jammu & Kashmir,Medical
2000,March,Ladakh,Total,66753,96117643.36,Top places in Ladakh,Medical
2000,March,Andaman & Nicobar,Total,71487,85854896.27,Top places in Andaman & Nicobar,Education
2000,March,Chandigarh,Total,61828,51109499.4,Top places in Chandigarh,Leisure
2000,March,Dadra & Nagar Haveli and Daman & Diu,Domestic,76346,59076836.3,Top places in Dadra & Nagar Haveli and Daman & Diu,Business
2000,March,Lakshadweep,Total,93322,60450344.16,Top places in Lakshadweep,Business
2000,April,Andhra Pradesh,Domestic,61744,91122629.73,Top places in Andhra Pradesh,Leisure
2000,April,Arunachal Pradesh,International,96998,128138991.8,Top places in Arunachal Pradesh,Leisure
2000,April,Assam,Domestic,87355,84618755.81,Top places in Assam,Leisure
2000,April,Bihar,International,5063,5891746.98,Top places in Bihar,Education
2000,April,Chhattisgarh,Domestic,96346,118488168.1,Top places in Chhattisgarh,Business
2000,April,Goa,Total,17316,17269392.33,Top places in Goa,Business
2000,April,Gujarat,Domestic,10426,12673003.09,Top places in Gujarat,Business
2000,April,Haryana,Domestic,89710,102926319.6,Top places in Haryana,Education
2000,April,Himachal Pradesh,International,86958,48190469.01,Top places in Himachal Pradesh,Business
2000,April,Jharkhand,Domestic,7864,10934136.52,Top places in Jharkhand,Business
2000,April,Karnataka,International,17153,18216835.69,Top places in Karnataka,Leisure
2000,April,Kerala,Total,40998,60596411.41,Top places in Kerala,Pilgrimage
2000,April,Madhya Pradesh,Total,62633,32287762.84,Top places in Madhya Pradesh,Medical
2000,April,Maharashtra,Domestic,60321,45446999.37,Top places in Maharashtra,Business
2000,April,Manipur,International,98561,91454607.73,Top places in Manipur,Leisure
2000,April,Meghalaya,International,6929,6659787.43,Top places in Meghalaya,Business
2000,April,Mizoram,Total,49522,64494308.05,Top places in Mizoram,Business
2000,April,Nagaland,International,91712,59109465.12,Top places in Nagaland,Medical
2000,April,Odisha,Total,31162,29669745.61,Top places in Odisha,Leisure
2000,April,Punjab,Total,26405,29695842.54,Top places in Punjab,Pilgrimage
2000,April,Rajasthan,Domestic,60452,79826034.1,Top places in Rajasthan,Education
2000,April,Sikkim,Domestic,18227,27166142.92,Top places in Sikkim,Leisure
2000,April,Tamil Nadu,Total,84618,125136181,Top places in Tamil Nadu,Business
2000,April,Telangana,International,38704,41803357.35,Top places in Telangana,Education
2000,April,Tripura,Total,82386,108725096.6,Top places in Tripura,Pilgrimage
2000,April,Uttar Pradesh,Domestic,83873,90381819.97,Top places in Uttar Pradesh,Pilgrimage
2000,April,Uttarakhand,International,89574,78931751.15,Top places in Uttarakhand,Business
2000,April,West Bengal,Total,84315,59137643.52,Top places in West Bengal,Medical
2000,April,Delhi,Total,18035,23635190.52,Top places in Delhi,Medical
2000,April,Puducherry,International,24679,24257315.69,Top places in Puducherry,Pilgrimage
2000,April,Jammu & Kashmir,International,47837,68670443.35,Top places in Jammu & Kashmir,Pilgrimage
2000,April,Ladakh,Total,14696,8304415.93,Top places in Ladakh,Medical
2000,April,Andaman & Nicobar,Domestic,10428,5522044.47,Top places in Andaman & Nicobar,Medical
2000,April,Chandigarh,Total,88839,129737755.8,Top places in Chandigarh,Business
2000,April,Dadra & Nagar Haveli and Daman & Diu,Domestic,11591,14137983.22,Top places in Dadra & Nagar Haveli and Daman & Diu,Pilgrimage
2000,April,Lakshadweep,Domestic,95093,65609293.65,Top places in Lakshadweep,Education
2000,May,Andhra Pradesh,International,26684,14026181.47,Top places in Andhra Pradesh,Education
2000,May,Arunachal Pradesh,Domestic,51257,67819694.73,Top places in Arunachal Pradesh,Business
2000,May,Assam,Total,43628,53956794.72,Top places in Assam,Education
2000,May,Bihar,Domestic,83232,98830479.31,Top places in Bihar,Medical
2000,May,Chhattisgarh,Total,50805,70872787.78,Top places in Chhattisgarh,Pilgrimage
2000,May,Goa,Total,93386,137023274.4,Top places in Goa,Medical
2000,May,Gujarat,International,94390,51770870.72,Top places in Gujarat,Business
2000,May,Haryana,International,89313,111749092.4,Top places in Haryana,Leisure
2000,May,Himachal Pradesh,Total,27234,16534219.32,Top places in Himachal Pradesh,Business
2000,May,Jharkhand,Total,70605,81281671.1,Top places in Jharkhand,Business
2000,May,Karnataka,Total,12224,10788484.33,Top places in Karnataka,Leisure
2000,May,Kerala,International,66556,68519090.67,Top places in Kerala,Education
2000,May,Madhya Pradesh,Total,67747,81967978.04,Top places in Madhya Pradesh,Medical
2000,May,Maharashtra,Total,61261,59370618.36,Top places in Maharashtra,Pilgrimage
2000,May,Manipur,Domestic,35052,46999727.56,Top places in Manipur,Pilgrimage
2000,May,Meghalaya,International,53863,53556713.29,Top places in Meghalaya,Education
2000,May,Mizoram,Total,8354,11754885.39,Top places in Mizoram,Leisure
2000,May,Nagaland,International,97213,91758508.37,Top places in Nagaland,Pilgrimage
2000,May,Odisha,International,80313,45572996.5,Top places in Odisha,Leisure
2000,May,Punjab,International,17981,24341301,Top places in Punjab,Education
2000,May,Rajasthan,Domestic,71477,86636996.93,Top places in Rajasthan,Pilgrimage
2000,May,Sikkim,International,25350,37921555.89,Top places in Sikkim,Education
2000,May,Tamil Nadu,Domestic,34471,33890898.4,Top places in Tamil Nadu,Pilgrimage
2000,May,Telangana,Total,48746,45386295.68,Top places in Telangana,Leisure
2000,May,Tripura,Domestic,53796,31417295.67,Top places in Tripura,Education
2000,May,Uttar Pradesh,Total,64097,36802910.76,Top places in Uttar Pradesh,Education
2000,May,Uttarakhand,International,13228,11947020.87,Top places in Uttarakhand,Education
2000,May,West Bengal,Domestic,87682,45912564.76,Top places in West Bengal,Leisure
2000,May,Delhi,International,24039,21540418.25,Top places in Delhi,Pilgrimage
2000,May,Puducherry,International,71443,71510674.36,Top places in Puducherry,Pilgrimage
2000,May,Jammu & Kashmir,International,99753,135576979,Top places in Jammu & Kashmir,Pilgrimage
2000,May,Ladakh,Total,86257,69483802.78,Top places in Ladakh,Leisure
2000,May,Andaman & Nicobar,Domestic,40260,59010631.72,Top places in Andaman & Nicobar,Business
2000,May,Chandigarh,Total,40131,45687319.44,Top places in Chandigarh,Pilgrimage
2000,May,Dadra & Nagar Haveli and Daman & Diu,Domestic,58852,63068050.56,Top places in Dadra & Nagar Haveli and Daman & Diu,Leisure
2000,May,Lakshadweep,International,34024,44254817.71,Top places in Lakshadweep,Pilgrimage
2000,June,Andhra Pradesh,Domestic,80853,106126554.5,Top places in Andhra Pradesh,Business
2000,June,Arunachal Pradesh,International,85222,58399990.4,Top places in Arunachal Pradesh,Business
2000,June,Assam,Total,55220,56225368.83,Top places in Assam,Medical
2000,June,Bihar,Total,47050,43731840.43,Top places in Bihar,Leisure
2000,June,Chhattisgarh,Total,64630,89836509.8,Top places in Chhattisgarh,Business
2000,June,Goa,Domestic,10119,7000161.12,Top places in Goa,Medical
2000,June,Gujarat,Total,46318,24378113.99,Top places in Gujarat,Business
2000,June,Haryana,Total,43098,47567818.92,Top places in Haryana,Business
2000,June,Himachal Pradesh,Domestic,48211,68051590.66,Top places in Himachal Pradesh,Education
2000,June,Jharkhand,International,98819,94678038.37,Top places in Jharkhand,Medical
2000,June,Karnataka,Total,64140,86520104.84,Top places in Karnataka,Business
2000,June,Kerala,International,9513,11499403.75,Top places in Kerala,Education
2000,June,Madhya Pradesh,International,54404,79857270.45,Top places in Madhya Pradesh,Pilgrimage
2000,June,Maharashtra,International,58178,44258815.13,Top places in Maharashtra,Medical
2000,June,Manipur,Domestic,32440,47321185.06,Top places in Manipur,Leisure
2000,June,Meghalaya,Total,94947,61273478.83,Top places in Meghalaya,Education
2000,June,Mizoram,International,67038,49084248.55,Top places in Mizoram,Leisure
2000,June,Nagaland,Domestic,25634,17457423.98,Top places in Nagaland,Leisure
2000,June,Odisha,Domestic,42589,62790546.48,Top places in Odisha,Business
2000,June,Punjab,Domestic,40187,57388449.36,Top places in Punjab,Education
2000,June,Rajasthan,Domestic,21161,28682429.23,Top places in Rajasthan,Medical
2000,June,Sikkim,International,32605,20156984.8,Top places in Sikkim,Leisure
2000,June,Tamil Nadu,Total,53756,77795193.83,Top places in Tamil Nadu,Medical
2000,June,Telangana,Domestic,94948,140631460.7,Top places in Telangana,Leisure
2000,June,Tripura,International,86941,100259265.9,Top places in Tripura,Medical
2000,June,Uttar Pradesh,International,17152,10156138.47,Top places in Uttar Pradesh,Medical
2000,June,Uttarakhand,Domestic,74631,99755137.59,Top places in Uttarakhand,Business
2000,June,West Bengal,Domestic,28945,17882761.59,Top places in West Bengal,Leisure
2000,June,Delhi,Total,67064,66138283.46,Top places in Delhi,Medical
2000,June,Puducherry,Domestic,22973,30274427.03,Top places in Puducherry,Leisure
2000,June,Jammu & Kashmir,International,21205,21312099.3,Top places in Jammu & Kashmir,Pilgrimage
2000,June,Ladakh,Domestic,23983,33161545.05,Top places in Ladakh,Education
2000,June,Andaman & Nicobar,International,65394,40226205.14,Top places in Andaman & Nicobar,Pilgrimage
2000,June,Chandigarh,Domestic,68479,52165323.53,Top places in Chandigarh,Business
2000,June,Dadra & Nagar Haveli and Daman & Diu,International,44754,64215129.99,Top places in Dadra & Nagar Haveli and Daman & Diu,Leisure
2000,June,Lakshadweep,Domestic,78072,46968048.89,Top places in Lakshadweep,Education
2000,July,Andhra Pradesh,International,69847,88831885.87,Top places in Andhra Pradesh,Medical
2000,July,Arunachal Pradesh,Total,87947,84624327.24,Top places in Arunachal Pradesh,Pilgrimage
2000,July,Assam,International,42822,28685958,Top places in Assam,Business
2000,July,Bihar,Domestic,64721,73016743.21,Top places in Bihar,Leisure
2000,July,Chhattisgarh,Domestic,61445,50938660.6,Top places in Chhattisgarh,Medical
2000,July,Goa,Total,54454,45228586.78,Top places in Goa,Education
2000,July,Gujarat,International,14581,17047668.69,Top places in Gujarat,Education
2000,July,Haryana,International,40415,59635972.44,Top places in Haryana,Business
2000,July,Himachal Pradesh,International,86767,49030549.78,Top places in Himachal Pradesh,Education
2000,July,Jharkhand,International,6903,8464049.37,Top places in Jharkhand,Business
2000,July,Karnataka,Domestic,89252,65359693.39,Top places in Karnataka,Pilgrimage
2000,July,Kerala,Total,45209,56591964.69,Top places in Kerala,Pilgrimage
2000,July,Madhya Pradesh,International,57852,57853827.36,Top places in Madhya Pradesh,Education
2000,July,Maharashtra,Total,38530,36704821.24,Top places in Maharashtra,Pilgrimage
2000,July,Manipur,Total,62414,39804135.29,Top places in Manipur,Medical
2000,July,Meghalaya,Total,53313,53588328.7,Top places in Meghalaya,Pilgrimage
2000,July,Mizoram,Total,43658,39700229.35,Top places in Mizoram,Business
2000,July,Nagaland,Total,59434,31020098.13,Top places in Nagaland,Pilgrimage
2000,July,Odisha,Domestic,67939,90319614.05,Top places in Odisha,Medical
2000,July,Punjab,International,76152,102846452.9,Top places in Punjab,Business
2000,July,Rajasthan,Total,43379,57905971.74,Top places in Rajasthan,Business
2000,July,Sikkim,International,50839,41649884.25,Top places in Sikkim,Pilgrimage
2000,July,Tamil Nadu,Domestic,41795,47553994.86,Top places in Tamil Nadu,Leisure
2000,July,Telangana,Domestic,11241,6887586.56,Top places in Telangana,Medical
2000,July,Tripura,Total,97609,141305243.7,Top places in Tripura,Pilgrimage
2000,July,Uttar Pradesh,International,53971,47864884.87,Top places in Uttar Pradesh,Pilgrimage
2000,July,Uttarakhand,Total,73226,51945902.55,Top places in Uttarakhand,Leisure
2000,July,West Bengal,Total,81267,66303773.61,Top places in West Bengal,Medical
2000,July,Delhi,Total,43709,61475146.5,Top places in Delhi,Education
2000,July,Puducherry,International,75960,87118936.85,Top places in Puducherry,Business
2000,July,Jammu & Kashmir,Total,12797,11377541.79,Top places in Jammu & Kashmir,Medical
2000,July,Ladakh,Domestic,85056,66344660.59,Top places in Ladakh,Leisure
2000,July,Andaman & Nicobar,Domestic,56802,52041890.69,Top places in Andaman & Nicobar,Medical
2000,July,Chandigarh,International,16631,20751096.09,Top places in Chandigarh,Medical
2000,July,Dadra & Nagar Haveli and Daman & Diu,Total,23443,21182750.85,Top places in Dadra & Nagar Haveli and Daman & Diu,Pilgrimage
2000,July,Lakshadweep,Total,15594,18935271.28,Top places in Lakshadweep,Pilgrimage
2000,August,Andhra Pradesh,International,84410,90492159.1,Top places in Andhra Pradesh,Medical
2000,August,Arunachal Pradesh,Total,28279,35185582.96,Top places in Arunachal Pradesh,Education
2000,August,Assam,International,74346,47736192.61,Top places in Assam,Education
2000,August,Bihar,Domestic,77190,57140813.57,Top places in Bihar,Medical
2000,August,Chhattisgarh,International,22543,22054245.58,Top places in Chhattisgarh,Medical
2000,August,Goa,Domestic,19115,24529099.68,Top places in Goa,Business
2000,August,Gujarat,International,52013,54440123.94,Top places in Gujarat,Business
2000,August,Haryana,Total,20450,28739982.72,Top places in Haryana,Business
2000,August,Himachal Pradesh,International,52518,37032544.1,Top places in Himachal Pradesh,Pilgrimage
2000,August,Jharkhand,Domestic,85238,92864791.98,Top places in Jharkhand,Pilgrimage
2000,August,Karnataka,International,99702,139708775.1,Top places in Karnataka,Medical
2000,August,Kerala,International,60838,44356444.01,Top places in Kerala,Pilgrimage
2000,August,Madhya Pradesh,Domestic,47711,55323840.13,Top places in Madhya Pradesh,Education
2000,August,Maharashtra,Domestic,27879,24566532.01,Top places in Maharashtra,Medical
2000,August,Manipur,Total,32569,34545266.04,Top places in Manipur,Education
2000,August,Meghalaya,Total,79211,114521176.4,Top places in Meghalaya,Education
2000,August,Mizoram,Total,73184,79755332.35,Top places in Mizoram,Pilgrimage
2000,August,Nagaland,Domestic,59241,78492462.39,Top places in Nagaland,Leisure
2000,August,Odisha,International,23225,21125401.58,Top places in Odisha,Education
2000,August,Punjab,International,29438,30327982.12,Top places in Punjab,Business
2000,August,Rajasthan,International,62619,51342940.69,Top places in Rajasthan,Leisure
2000,August,Sikkim,Total,18112,20011460.72,Top places in Sikkim,Leisure
2000,August,Tamil Nadu,Total,35983,32094252.22,Top places in Tamil Nadu,Business
2000,August,Telangana,Domestic,64261,74617781.61,Top places in Telangana,Pilgrimage
2000,August,Tripura,International,74068,95434483.11,Top places in Tripura,Medical
2000,August,Uttar Pradesh,Domestic,64019,66008209.39,Top places in Uttar Pradesh,Medical
2000,August,Uttarakhand,Domestic,48082,49485387.52,Top places in Uttarakhand,Leisure
2000,August,West Bengal,International,39558,21798648.99,Top places in West Bengal,Pilgrimage
2000,August,Delhi,International,65742,43079449.01,Top places in Delhi,Education
2000,August,Puducherry,Domestic,73696,44971509.51,Top places in Puducherry,Business
2000,August,Jammu & Kashmir,International,47571,51162238.42,Top places in Jammu & Kashmir,Medical
2000,August,Ladakh,Total,48168,24117162.08,Top places in Ladakh,Medical
2000,August,Andaman & Nicobar,Domestic,81190,90224834.17,Top places in Andaman & Nicobar,Medical
2000,August,Chandigarh,Total,78898,53094168.5,Top places in Chandigarh,Pilgrimage
2000,August,Dadra & Nagar Haveli and Daman & Diu,Total,35255,33644084.9,Top places in Dadra & Nagar Haveli and Daman & Diu,Education
2000,August,Lakshadweep,Total,69061,73695227.93,Top places in Lakshadweep,Pilgrimage
2000,September,Andhra Pradesh,International,48864,37912134.04,Top places in Andhra Pradesh,Education
2000,September,Arunachal Pradesh,International,61603,69941339.62,Top places in Arunachal Pradesh,Medical
2000,September,Assam,Total,65984,88409110.27,Top places in Assam,Leisure
2000,September,Bihar,Total,82306,94745436.92,Top places in Bihar,Business
2000,September,Chhattisgarh,Total,75816,70582753.26,Top places in Chhattisgarh,Education
2000,September,Goa,Domestic,77834,97520960.66,Top places in Goa,Leisure
2000,September,Gujarat,Total,18486,12312285.21,Top places in Gujarat,Medical
2000,September,Haryana,Domestic,80608,119224356.6,Top places in Haryana,Education
2000,September,Himachal Pradesh,Total,63203,83853550.87,Top places in Himachal Pradesh,Education
2000,September,Jharkhand,Total,53465,65766564.54,Top places in Jharkhand,Education
2000,September,Karnataka,Domestic,31660,33547745.4,Top places in Karnataka,Business
2000,September,Kerala,Total,53921,46654642.58,Top places in Kerala,Education
2000,September,Madhya Pradesh,Domestic,57958,33544613.65,Top places in Madhya Pradesh,Medical
2000,September,Maharashtra,Domestic,27862,21419457.11,Top places in Maharashtra,Medical
2000,September,Manipur,Total,8800,4966364.06,Top places in Manipur,Pilgrimage
2000,September,Meghalaya,Total,73205,102430463.7,Top places in Meghalaya,Pilgrimage
2000,September,Mizoram,International,58406,42497198.03,Top places in Mizoram,Business
2000,September,Nagaland,International,57594,39684186.1,Top places in Nagaland,Pilgrimage
2000,September,Odisha,Total,83638,109637373.5,Top places in Odisha,Education
2000,September,Punjab,International,78400,91933620.49,Top places in Punjab,Pilgrimage
2000,September,Rajasthan,International,97019,123424414.7,Top places in Rajasthan,Business
2000,September,Sikkim,Domestic,67843,52430353.69,Top places in Sikkim,Education
2000,September,Tamil Nadu,Total,47427,28151292.14,Top places in Tamil Nadu,Business
2000,September,Telangana,International,67347,61918790.86,Top places in Telangana,Leisure
2000,September,Tripura,International,97719,133330975.7,Top places in Tripura,Medical
2000,September,Uttar Pradesh,International,38833,39679727.43,Top places in Uttar Pradesh,Leisure
2000,September,Uttarakhand,International,94132,66665954.71,Top places in Uttarakhand,Business
2000,September,West Bengal,Total,20564,24303955.21,Top places in West Bengal,Medical
2000,September,Delhi,Total,50793,63947361.3,Top places in Delhi,Education
2000,September,Puducherry,Domestic,21493,15663069.73,Top places in Puducherry,Medical
2000,September,Jammu & Kashmir,Total,75875,41371708.97,Top places in Jammu & Kashmir,Medical
2000,September,Ladakh,Total,15542,18550943.77,Top places in Ladakh,Pilgrimage
2000,September,Andaman & Nicobar,Domestic,19708,15602167.62,Top places in Andaman & Nicobar,Leisure
2000,September,Chandigarh,International,98452,75138980.94,Top places in Chandigarh,Business
2000,September,Dadra & Nagar Haveli and Daman & Diu,Domestic,29645,37641400.65,Top places in Dadra & Nagar Haveli and Daman & Diu,Pilgrimage
2000,September,Lakshadweep,International,63020,34827655.03,Top places in Lakshadweep,Business
2000,October,Andhra Pradesh,International,41480,62031587.3,Top places in Andhra Pradesh,Education
2000,October,Arunachal Pradesh,Domestic,87791,74764805.29,Top places in Arunachal Pradesh,Pilgrimage
2000,October,Assam,International,79963,45565266.7,Top places in Assam,Business
2000,October,Bihar,Total,35796,19941396.9,Top places in Bihar,Business
2000,October,Chhattisgarh,International,75907,66016571.31,Top places in Chhattisgarh,Education
2000,October,Goa,International,48588,65296712.99,Top places in Goa,Medical
2000,October,Gujarat,Domestic,96988,102226598.6,Top places in Gujarat,Medical
2000,October,Haryana,International,99683,73603653.74,Top places in Haryana,Pilgrimage
2000,October,Himachal Pradesh,International,98201,66456099.24,Top places in Himachal Pradesh,Leisure
2000,October,Jharkhand,International,39400,36972021.38,Top places in Jharkhand,Leisure
2000,October,Karnataka,Total,75148,41571948.06,Top places in Karnataka,Pilgrimage
2000,October,Kerala,Total,10022,5228430.59,Top places in Kerala,Education
2000,October,Madhya Pradesh,Total,96916,127782592,Top places in Madhya Pradesh,Business
2000,October,Maharashtra,International,58477,51313708.79,Top places in Maharashtra,Medical
2000,October,Manipur,Total,69965,67075834.91,Top places in Manipur,Pilgrimage
2000,October,Meghalaya,International,27519,21972619.08,Top places in Meghalaya,Pilgrimage
2000,October,Mizoram,Domestic,44878,41643030.95,Top places in Mizoram,Leisure
2000,October,Nagaland,International,41290,53420126.07,Top places in Nagaland,Pilgrimage
2000,October,Odisha,International,95346,57157563.93,Top places in Odisha,Education
2000,October,Punjab,Total,62236,90147912.26,Top places in Punjab,Leisure
